customer_id,name,region
1,Wei Ming Ismail,East
2,Kai Singh,North
3,Jun Hao Nair,West
4,Ryan Ong,Central
5,Zhi Wei Pillai,East
6,Yee Ling Foo,North
7,Serene Lee,West
8,Siti Goh,Central
9,Daniel Reyes,East
10,Marcus Tan,North
11,Terence Ismail,West
12,Arjun Singh,Central
13,Ben Nair,East
14,Chloe Ong,North
15,Mei Pillai,West
16,Wei Ming Foo,Central
17,Kai Lee,East
18,Jun Hao Goh,North
19,Ryan Reyes,West
20,Zhi Wei Tan,Central
21,Yee Ling Ismail,East
22,Serene Singh,North
23,Siti Nair,West
24,Daniel Ong,Central
25,Marcus Pillai,East
26,Terence Foo,North
27,Arjun Lee,West
28,Ben Goh,Central
29,Chloe Reyes,East
30,Mei Tan,North
31,Farah Osman,East
